Region,Suburb/Town Name,Offence Division,Offence Subdivision,Incidents Recorded 2024
,Tylden,C Drug offences,C30 Drug use and possession,1
,Teesdale,B Property and deception offences,B50 Deception,1
,Birregurra,A Crimes against the person,Other crimes against the person,1
Metro Inner East,Oakleigh,F Other offences,F30 Other government regulatory offences,1
,Boneo,A Crimes against the person,Other crimes against the person,1
Other,Cohuna,F Other offences,F10 Regulatory driving offences,1
,Woorarra East,B Property and deception offences,B40 Theft,1
,Cardigan,A Crimes against the person,Other crimes against the person,1
,Newry,B Property and deception offences,B50 Deception,1
,Ledcourt,A Crimes against the person,A20 Assault and related offences,1
Metro Inner North,Yallambie,E Justice procedures offences,E10 Justice procedures,1
,Yarroweyah,B Property and deception offences,B30 Burglary/Break and enter,1
,Kimbolton,D Public order and security offences,D10 Weapons and explosives offences,1
,Panmure,A Crimes against the person,A20 Assault and related offences,1
,Sugarloaf Creek,D Public order and security offences,D10 Weapons and explosives offences,1
,Toolangi,A Crimes against the person,Other crimes against the person,1
Metro Inner North,Reservoir,F Other offences,F30 Other government regulatory offences,1
,Glenlyon,D Public order and security offences,D10 Weapons and explosives offences,1
,Navigators,B Property and deception offences,B20 Property damage,1
,Fryerstown,B Property and deception offences,B50 Deception,1
,Bonnie Doon,E Justice procedures offences,E10 Justice procedures,1
Other,Apollo Bay,C Drug offences,C20 Cultivate or manufacture drugs,1
,Robertsons Beach,B Property and deception offences,B50 Deception,1
Metro Outer South,Blairgowrie,D Public order and security offences,D20 Disorderly and offensive conduct,1
,Ross Creek,A Crimes against the person,A20 Assault and related offences,1
,Invergordon,C Drug offences,C20 Cultivate or manufacture drugs,1
Metro Outer South,Lyndhurst,D Public order and security offences,D30 Public nuisance offences,1
,Rippleside,C Drug offences,C30 Drug use and possession,1
,Willaura,A Crimes against the person,Other crimes against the person,1
,Gheringhap,A Crimes against the person,A80 Dangerous and negligent acts endangering people,1
,Reefton,B Property and deception offences,B20 Property damage,1
,Bridge Creek,F Other offences,F90 Miscellaneous offences,1
Metro Inner West,Seddon,A Crimes against the person,A50 Robbery,1
Other,Lancefield,D Public order and security offences,D10 Weapons and explosives offences,1
,Sheans Creek,B Property and deception offences,B40 Theft,1
,Mount Burnett,B Property and deception offences,B30 Burglary/Break and enter,1
Other,Leopold,A Crimes against the person,A50 Robbery,1
Metro Inner North,Preston,F Other offences,F20 Transport regulation offences,1
,Mount Taylor,E Justice procedures offences,E20 Breaches of orders,1
,Kariah,B Property and deception offences,B20 Property damage,1
,Codrington,D Public order and security offences,D10 Weapons and explosives offences,1
,Stonyford,A Crimes against the person,A80 Dangerous and negligent acts endangering people,1
,Nyah West,E Justice procedures offences,E10 Justice procedures,1
,Minyip,E Justice procedures offences,E10 Justice procedures,1
,Barwite,B Property and deception offences,B30 Burglary/Break and enter,1
,Ingliston,E Justice procedures offences,E10 Justice procedures,1
,Port Campbell,B Property and deception offences,B30 Burglary/Break and enter,1
,Yendon,D Public order and security offences,D10 Weapons and explosives offences,1
,Maryvale,D Public order and security offences,D30 Public nuisance offences,1
Other,Lockington,A Crimes against the person,A80 Dangerous and negligent acts endangering people,1
Other,Lake Gardens,B Property and deception offences,B10 Arson,1
Other,Maryborough,F Other offences,F20 Transport regulation offences,1
,Gruyere,D Public order and security offences,D10 Weapons and explosives offences,1
,Terrick Terrick,B Property and deception offences,B40 Theft,1
,Apsley,A Crimes against the person,A80 Dangerous and negligent acts endangering people,1
,Avonsleigh,A Crimes against the person,Other crimes against the person,1
Metro Outer North,Whittlesea,C Drug offences,C10 Drug dealing and trafficking,1
,Havelock,B Property and deception offences,B20 Property damage,1
Other,Skenes Creek,B Property and deception offences,B20 Property damage,1
,Ruby,C Drug offences,C30 Drug use and possession,1
Other,Manifold Heights,A Crimes against the person,A50 Robbery,1
,Gisborne South,B Property and deception offences,B10 Arson,1
,Castella,A Crimes against the person,A20 Assault and related offences,1
,Tooborac,A Crimes against the person,A20 Assault and related offences,1
Metro Inner East,Warrandyte,F Other offences,F30 Other government regulatory offences,1
Other,Warrenheip,B Property and deception offences,B10 Arson,1
,Cadello,D Public order and security offences,D10 Weapons and explosives offences,1
,Bete Bolong,D Public order and security offences,D10 Weapons and explosives offences,1
,Waratah Bay,A Crimes against the person,A20 Assault and related offences,1
,Glenburn,A Crimes against the person,Other crimes against the person,1
,Hepburn Springs,B Property and deception offences,B20 Property damage,1
Metro Outer West,Tarneit,F Other offences,F30 Other government regulatory offences,1
Other,North Wonthaggi,C Drug offences,C20 Cultivate or manufacture drugs,1
,Gormandale,B Property and deception offences,B30 Burglary/Break and enter,1
,Mitre,B Property and deception offences,B30 Burglary/Break and enter,1
Other,Gisborne,C Drug offences,C10 Drug dealing and trafficking,1
,Port Franklin,E Justice procedures offences,E20 Breaches of orders,1
,Mambourin,C Drug offences,C20 Cultivate or manufacture drugs,1
,Mount Doran,B Property and deception offences,B40 Theft,1
Metro Outer South,Safety Beach,D Public order and security offences,D30 Public nuisance offences,1
,Shepparton East,D Public order and security offences,D30 Public nuisance offences,1
,Gerrigerrup,E Justice procedures offences,E10 Justice procedures,1
Other,Cape Paterson,B Property and deception offences,B50 Deception,1
,Welshpool,B Property and deception offences,B30 Burglary/Break and enter,1
Other,Rutherglen,D Public order and security offences,D20 Disorderly and offensive conduct,1
,Corop,B Property and deception offences,B20 Property damage,1
,Koonwarra,A Crimes against the person,A20 Assault and related offences,1
,Dooen,B Property and deception offences,B40 Theft,1
Metro Outer South,Clyde North,F Other offences,F30 Other government regulatory offences,1
,Towong,B Property and deception offences,B30 Burglary/Break and enter,1
Other,Porepunkah,D Public order and security offences,D20 Disorderly and offensive conduct,1
,Tawonga South,A Crimes against the person,A20 Assault and related offences,1
,Poowong,E Justice procedures offences,E10 Justice procedures,1
,Cressy,D Public order and security offences,D10 Weapons and explosives offences,1
,Princetown,B Property and deception offences,B30 Burglary/Break and enter,1
Metro Inner South,Caulfield North,C Drug offences,C20 Cultivate or manufacture drugs,1
,Springfield,E Justice procedures offences,E20 Breaches of orders,1
,McKenzie Hill,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",1
Metro Inner West,Keilor Lodge,C Drug offences,C30 Drug use and possession,1
,St Andrews,B Property and deception offences,B50 Deception,1
,Parwan,E Justice procedures offences,E20 Breaches of orders,1
Other,Avoca,E Justice procedures offences,E20 Breaches of orders,1
Metro Outer South,Baxter,B Property and deception offences,B10 Arson,1
Metro Inner East,Templestowe,C Drug offences,C20 Cultivate or manufacture drugs,1
,Lascelles,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",1
,Woorinen South,A Crimes against the person,A20 Assault and related offences,1
,Elaine,B Property and deception offences,B10 Arson,1
,Cape Clear,B Property and deception offences,B40 Theft,1
,Nyerimilang,B Property and deception offences,B30 Burglary/Break and enter,1
,Serpentine,E Justice procedures offences,E10 Justice procedures,1
,Locksley,B Property and deception offences,B40 Theft,1
,Mount Beckworth,B Property and deception offences,B30 Burglary/Break and enter,1
,Heywood,E Justice procedures offences,E10 Justice procedures,1
Metro Outer North,Doreen,D Public order and security offences,D20 Disorderly and offensive conduct,1
,Boort,A Crimes against the person,Other crimes against the person,1
,Murtoa,D Public order and security offences,D30 Public nuisance offences,1
Metro Inner South,Caulfield,C Drug offences,C20 Cultivate or manufacture drugs,1
,Yinnar,A Crimes against the person,A80 Dangerous and negligent acts endangering people,1
,Kevington,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",1
,Bridgewater,B Property and deception offences,B20 Property damage,1
,Wallington,A Crimes against the person,A50 Robbery,1
,Dockers Plains,A Crimes against the person,Other crimes against the person,1
,Nambrok,E Justice procedures offences,E10 Justice procedures,1
,Silvan,B Property and deception offences,B40 Theft,1
,Nullawarre North,B Property and deception offences,B40 Theft,1
,Toorloo Arm,B Property and deception offences,B50 Deception,1
Metro Inner North,Eaglemont,A Crimes against the person,A80 Dangerous and negligent acts endangering people,1
,Dookie,A Crimes against the person,A80 Dangerous and negligent acts endangering people,1
Other,Sea Lake,D Public order and security offences,D30 Public nuisance offences,1
Metro Inner West,Travancore,A Crimes against the person,A80 Dangerous and negligent acts endangering people,1
Other,Lerderderg,B Property and deception offences,B40 Theft,1
,Staghorn Flat,A Crimes against the person,A80 Dangerous and negligent acts endangering people,1
,Bungalally,A Crimes against the person,A20 Assault and related offences,1
,Garfield,D Public order and security offences,D30 Public nuisance offences,1
,Cobains,B Property and deception offences,B20 Property damage,1
,Newmerella,A Crimes against the person,Other crimes against the person,1
,Woodleigh,E Justice procedures offences,E10 Justice procedures,1
,West Creek,B Property and deception offences,B40 Theft,1
Metro Outer South,Hampton Park,D Public order and security offences,D30 Public nuisance offences,1
Metro Inner East,Rowville,F Other offences,F90 Miscellaneous offences,1
,Quandong,E Justice procedures offences,E10 Justice procedures,1
Metro Outer South,Gembrook,A Crimes against the person,A80 Dangerous and negligent acts endangering people,1
Other,Springvale South,D Public order and security offences,D20 Disorderly and offensive conduct,1
Metro Inner West,Cairnlea,F Other offences,F30 Other government regulatory offences,1
,Nerrina,A Crimes against the person,A20 Assault and related offences,1
,Lascelles,D Public order and security offences,D20 Disorderly and offensive conduct,1
,Bellbridge,E Justice procedures offences,E20 Breaches of orders,1
,Bullarook,E Justice procedures offences,E10 Justice procedures,1
,Crowlands,B Property and deception offences,B20 Property damage,1
Metro Inner,East Melbourne CBD,C Drug offences,C20 Cultivate or manufacture drugs,1
,Macarthur,A Crimes against the person,A80 Dangerous and negligent acts endangering people,1
,Bagshot,B Property and deception offences,B50 Deception,1
Other,Manifold Heights,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",1
,Wahring,A Crimes against the person,Other crimes against the person,1
,Koorlong,A Crimes against the person,A20 Assault and related offences,1
,Garfield,B Property and deception offences,B50 Deception,1
,Connewarre,D Public order and security offences,D10 Weapons and explosives offences,1
,Moorngag,B Property and deception offences,B30 Burglary/Break and enter,1
,Kinglake Central,A Crimes against the person,A80 Dangerous and negligent acts endangering people,1
,Kalorama,C Drug offences,C10 Drug dealing and trafficking,1
,Bolwarra,A Crimes against the person,Other crimes against the person,1
,Lardner,E Justice procedures offences,E10 Justice procedures,1
Other,Marshall,A Crimes against the person,Other crimes against the person,1
,Omeo,A Crimes against the person,Other crimes against the person,1
Metro Inner West,Essendon Fields,D Public order and security offences,D10 Weapons and explosives offences,1
